Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
PAYC,"Paycom Software, Inc.",120.04,7035982906,n/a,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/payc
PCTY,Paylocity Holding Corporation,60.73,3206459099,n/a,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/pcty
PCTI,"PC-Tel, Inc.",4.17,76463384.31,n/a,1999,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/pcti
PDFS,"PDF Solutions, Inc.",8.49,274010870.1,n/a,2001,Technology,EDP Services,https://www.nasdaq.com/symbol/pdfs
PEGA,Pegasystems Inc.,50.62,3983826954,n/a,1996,Technology,EDP Services,https://www.nasdaq.com/symbol/pega
PNR,Pentair plc.,41.59,7220066838,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/pnr
PRFT,"Perficient, Inc.",23.975,795533319.4,n/a,1999,Technology,EDP Services,https://www.nasdaq.com/symbol/prft
PERI,Perion Network Ltd,2.64,22747998.24,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/peri
PRSP,Perspecta Inc.,20.65,3396252946,n/a,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/prsp
PLAB,"Photronics, Inc.",9.64,659263221.6,n/a,1987,Technology,Semiconductors,https://www.nasdaq.com/symbol/plab
PVTL,"Pivotal Software, Inc.",17.58,4524835965,n/a,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/pvtl
PXLW,"Pixelworks, Inc.",3.94,144231126.9,n/a,2000,Technology,Semiconductors,https://www.nasdaq.com/symbol/pxlw
PLXS,Plexus Corp.,58.74,1848341153,n/a,n/a,Technology,Electrical Products,https://www.nasdaq.com/symbol/plxs
PS,"Pluralsight, Inc.",20.29,2740679257,n/a,2018,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/ps
PNTR,Pointer Telocation Ltd.,11.8,95957458.4,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/pntr
POWI,"Power Integrations, Inc.",59.12,1733959567,n/a,1997,Technology,Semiconductors,https://www.nasdaq.com/symbol/powi
PSDO,"Presidio, Inc.",13.44,1106415354,n/a,2017,Technology,Retail: Computer Software & Peripheral Equipment,https://www.nasdaq.com/symbol/psdo
IPDN,"Professional Diversity Network, Inc.",1.85,8956597.4,n/a,2013,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/ipdn
PRGS,Progress Software Corporation,33.47,1502890256,n/a,1991,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/prgs
PFPT,"Proofpoint, Inc.",86.37,4719941023,n/a,2012,Technology,EDP Services,https://www.nasdaq.com/symbol/pfpt
PRO,"PROS Holdings, Inc.",31.08,1154620477,n/a,2007,Technology,EDP Services,https://www.nasdaq.com/symbol/pro
PTC,PTC Inc.,84.73,10055353085,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ptc
PSTG,"Pure Storage, Inc. ",16.91,3993709983,n/a,2015,Technology,Electronic Components,https://www.nasdaq.com/symbol/pstg
QTWO,"Q2 Holdings, Inc.",49.74,2157469217,n/a,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/qtwo
QADA,QAD Inc.,46.95,912493156.8,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/qada
QADB,QAD Inc.,35,686737590,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/qadb
QRVO,"Qorvo, Inc.",63.57,7940212948,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/qrvo
QCOM,QUALCOMM Incorporated,55.28,67008347754,n/a,1991,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/qcom
QBAK,Qualstar Corporation,5.05,10342995.9,n/a,2000,Technology,Electronic Components,https://www.nasdaq.com/symbol/qbak
QLYS,"Qualys, Inc.",72.01,2835693888,n/a,2012,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/qlys
QTNA,"Quantenna Communications, Inc.",15.21,568774755.9,n/a,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/qtna
QTM,Quantum Corporation,2.28,79227455.52,n/a,n/a,Technology,Electronic Components,https://www.nasdaq.com/symbol/qtm
QRHC,Quest Resource Holding Corporation.,1.4,21438736.2,n/a,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/qrhc
QUIK,QuickLogic Corporation,0.9889,94134408.58,n/a,1999,Technology,Semiconductors,https://www.nasdaq.com/symbol/quik
QUMU,Qumu Corporation,2.33,22201178.99,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/qumu
RDCM,Radcom Ltd.,8.355,113973270.4,n/a,1997,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/rdcm
RSYS,RadiSys Corporation,1.53,60619417.02,n/a,1995,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/rsys
RMBS,"Rambus, Inc.",8.47,919002936.4,n/a,1997,Technology,Semiconductors,https://www.nasdaq.com/symbol/rmbs
RPD,"Rapid7, Inc.",27.47,1300008685,n/a,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/rpd
RCMT,"RCM Technologies, Inc.",3.984,50700296.35,n/a,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/rcmt
RNWK,"RealNetworks, Inc.",2.3,86606608.1,n/a,1997,Technology,EDP Services,https://www.nasdaq.com/symbol/rnwk
RP,"RealPage, Inc.",47.45,4456106132,n/a,2010,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/rp
RHT,"Red Hat, Inc.",173.1," $30,559,560,757.20 ",n/a,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/rht
RDVT,"Red Violet, Inc.",6.825,70069633.73,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/rdvt
SOL,Renesola Ltd.,1.52,57916104,n/a,2008,Technology,Semiconductors,https://www.nasdaq.com/symbol/sol
RENN,Renren Inc.,1.5,103193790,n/a,2011,Technology,EDP Services,https://www.nasdaq.com/symbol/renn
RCII,Rent-A-Center Inc.,14.55," $778,639,190.55 ",n/a,1995,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/rcii
RESN,Resonant Inc.,1.84,49847243.12,n/a,2014,Technology,Semiconductors,https://www.nasdaq.com/symbol/resn
RXN,Rexnord Corporation,27.75,2904383348,n/a,2012,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/rxn
RBBN,Ribbon Communications Inc. ,5.74,611421390.4,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/rbbn
RNG,"Ringcentral, Inc.",71.41,5736574531,n/a,2013,Technology,EDP Services,https://www.nasdaq.com/symbol/rng
RHI,Robert Half International Inc.,58.68,7128154878,n/a,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/rhi
RST,Rosetta Stone,16.12,368534150.4,n/a,2009,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/rst
RBCN,"Rubicon Technology, Inc.",8,21933592,n/a,2007,Technology,Semiconductors,https://www.nasdaq.com/symbol/rbcn
RMBL,"RumbleOn, Inc.",6.02,92938511.82,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/rmbl
SABR,Sabre Corporation,24.6345,6782193048,n/a,2014,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/sabr
SFET,Safe-T Group Ltd.,4.2,1830250.8,435774,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/sfet
SAIL,"SailPoint Technologies Holdings, Inc.",24.56,2156085855,n/a,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/sail
CRM,Salesforce.com Inc,123.59,93520553000,n/a,2004,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/crm
SANM,Sanmina Corporation,26.21,1789218731,n/a,1993,Technology,Electrical Products,https://www.nasdaq.com/symbol/sanm
SAP,SAP SE,101.51," $124,705,035,000.00 ",n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/sap
SPNS,Sapiens International Corporation N.V.,10.86,541810449.9,n/a,1992,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/spns
SCSC,"ScanSource, Inc.",37.34,956190173.8,n/a,n/a,Technology,Retail: Computer Software & Peripheral Equipment,https://www.nasdaq.com/symbol/scsc
SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,68.42,2897212127,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/saic
SGMS,Scientific Games Corp,17.555,1609906186,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/sgms
SEAC,"SeaChange International, Inc.",1.62,57913592.22,n/a,1996,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/seac
STX,Seagate Technology PLC,42.53,12172147116,n/a,2002,Technology,Electronic Components,https://www.nasdaq.com/symbol/stx
SCWX,SecureWorks Corp.,16.05,1312834066,n/a,2016,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/scwx
SMI,Semiconductor  Manufacturing International Corporation,4.44,4474533210,n/a,2004,Technology,Semiconductors,https://www.nasdaq.com/symbol/smi
LEDS,SemiLEDS Corporation,3.77,13409098.3,n/a,2010,Technology,Semiconductors,https://www.nasdaq.com/symbol/leds
SMTC,Semtech Corporation,45.42,3007806737,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/smtc
SEND,"SendGrid, Inc.",37.09,1756474913,n/a,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/send
SQNS,Sequans Communications S.A.,1.02,96478499.28,n/a,2011,Technology,Semiconductors,https://www.nasdaq.com/symbol/sqns
NOW,"ServiceNow, Inc.",159.14,28533802000,n/a,2012,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/now
SGOC,"SGOCO Group, Ltd",0.92,22856507.6,n/a,2010,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/sgoc
SEII,Sharing Economy International Inc.,2.19,16508055.75,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/seii
SHSP,"SharpSpring, Inc.",12.36,105220766.5,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/shsp
PIXY,"ShiftPixy, Inc.",3.655,105453281.5,n/a,2017,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/pixy
